Tanggal,Transaksi ID,Kolak Pisang,Martabak Telur,Gemblong,Ketan,Lontong Sayur,Pastel telur,Onde-Onde,Risol Kampung,Bihun,Lontong Oncom,Nasi Kuning,Gado - gado betawi,Donat kentang ,Salad Buah,Asinan Buah,Tahu Isi,Mendoan ,Risoles Smoked Beef,Risoles Ayam,Risoles Mayo
6/23/2024,472,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,473,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6/23/2024,474,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6/23/2024,475,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
6/23/2024,476,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/23/2024,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/23/2024,478,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/23/2024,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/23/2024,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/23/2024,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/23/2024,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6/23/2024,483,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
6/23/2024,484,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6/23/2024,485,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,486,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
6/23/2024,487,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
6/23/2024,488,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6/24/2024,489,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2024,490,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2024,491,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
6/24/2024,492,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6/24/2024,493,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6/24/2024,494,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6/24/2024,495,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6/24/2024,496,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
